OrderID,ItemID,ItemName,Category,Quantity,Zone,Aisle,Shelf,RobotID,Status
ORD001,ITM001,Wireless Mouse,Electronics,2,A,1,3,,Pending
ORD002,ITM002,USB-C Cable,Accessories,1,B,2,5,,Pending
ORD003,ITM003,Mechanical Keyboard,Electronics,3,C,1,2,,Pending
ORD004,ITM004,Laptop Stand,Accessories,1,A,3,1,,Pending
ORD005,ITM005,Headset,Electronics,2,B,4,2,,Pending
ORD006,ITM006,Webcam,Electronics,1,C,2,4,,Pending
ORD007,ITM007,Monitor,Electronics,1,A,5,1,,Pending
ORD008,ITM008,Power Bank,Accessories,4,B,3,3,,Pending
ORD009,ITM009,HDMI Cable,Accessories,2,C,4,5,,Pending
ORD010,ITM010,Bluetooth Speaker,Electronics,1,A,2,2,,Pending
